"","STATEFIP","old"
"1",01,0.202607949431735
"2",02,0.126061689763076
"3",04,0.201743106158023
"4",05,0.195849588565059
"5",06,0.163440394702455
"6",08,0.161797310828208
"7",09,0.19163887893736
"8",10,0.235996930834155
"9",11,0.128263857077416
"10",12,0.236055599525129
"11",13,0.167874671558178
"12",15,0.196666666666667
"13",16,0.187361618095865
"14",17,0.178093566141583
"15",18,0.176713947990544
"16",19,0.198998825783326
"17",20,0.186559339804512
"18",21,0.184387025838373
"19",22,0.187455550712336
"20",23,0.23954802259887
"21",24,0.178475935828877
"22",25,0.183485191997833
"23",26,0.196380973455778
"24",27,0.191743004141047
"25",28,0.190015107814861
"26",29,0.194180979236093
"27",30,0.219136996904025
"28",31,0.186674206981646
"29",32,0.18211359629412
"30",33,0.204208998548621
"31",34,0.182128101505881
"32",35,0.207253078401829
"33",36,0.183233739661974
"34",37,0.192678715995435
"35",38,0.186135093956323
"36",39,0.189451320894144
"37",40,0.171536336591585
"38",41,0.198898307096897
"39",42,0.202121395255141
"40",44,0.204404614357899
"41",45,0.204966076518527
"42",46,0.184954373469842
"43",47,0.186902133922001
"44",48,0.157952256620664
"45",49,0.120684745119134
"46",50,0.22094468614046
"47",51,0.171187540558079
"48",53,0.177107248278124
"49",54,0.223679840584523
"50",55,0.193906372737453
"51",56,0.194425087108014
