"","STATEFIP","metrocity","age25","ins"
"1",1,56.5606881972497,29.0600079536178,9.15921887100488
"2",2,20.9953807182238,35.926091491581,13.7386380569215
"3",4,88.1697385340763,30.8872696099443,10.1728818402629
"4",5,39.8747664164181,31.2231583778645,7.60908763072485
"5",6,97.5779862044206,30.920206854497,6.48043778394317
"6",8,83.7451723644686,30.2442425976255,6.47439565155199
"7",9,93.8159671507702,29.1399123653099,3.95458428638355
"8",10,100,26.3729036501151,4.97643319083635
"9",11,100,29.9893113452435,2.58054664834326
"10",12,92.8769291650178,25.4669568658488,11.4275821131777
"11",13,66.6114719151257,31.0098656487036,12.4674036983789
"12",15,70.7638888888889,29.2152777777778,3.66666666666667
"13",16,40.7336484950033,32.816707557896,10.0412901681527
"14",17,74.4899411653065,29.9092174353135,5.55766432593155
"15",18,62.2222222222222,31.9252364066194,7.51477541371158
"16",19,29.5160991286076,30.8633582596873,4.06958778814659
"17",20,43.4910542158487,31.941015321135,8.03260391652856
"18",21,41.3040131940627,30.5376580538758,5.1654755360088
"19",22,63.8234416940054,29.6634471999816,7.64413039987153
"20",23,46.1016949152542,25.0621468926554,7.70621468926554
"21",24,93.5645053475936,29.6808155080214,4.7894385026738
"22",25,95.0449872381686,29.8199084570304,2.35416577547732
"23",26,67.8743499733451,28.8596747100655,5.13081000613565
"24",27,44.6318770951724,29.4946489073732,3.93489055805532
"25",28,32.3032550473836,30.80620793847,11.5815135283615
"26",29,61.027621122789,30.126890540887,9.09702640348629
"27",30,7.24651702786378,28.202399380805,7.85603715170279
"28",31,41.2575188936301,32.1011773173616,7.21299676109197
"29",32,87.5237667231306,29.5917309088395,9.78670446295848
"30",33,35.5007256894049,27.4528301886792,5.17416545718433
"31",34,100,28.8262253629242,5.70406158986747
"32",35,59.822309970385,28.690185483452,9.43004104535772
"33",36,83.3230947316048,29.4353876537694,4.55355465636376
"34",37,66.912790300713,29.6011626659384,9.04577509436907
"35",38,15.5789740985272,30.929405789741,6.15794819705434
"36",39,73.7257108308281,30.0186419898225,5.94612296995449
"37",40,42.1376965575861,33.0296430089248,14.818848278793
"38",41,76.7386091127098,28.3804639456751,6.09730037751977
"39",42,74.8128864301985,28.6558814869912,5.38174267429067
"40",44,100,28.5823243397845,3.28916007245686
"41",45,75.9002770083102,29.4050343249428,9.44036292103256
"42",46,11.5846872913421,33.6968617849989,8.83596705987091
"43",47,58.6534216335541,30.1103752759382,9.22884473877851
"44",48,79.9306229019023,32.7232375979112,15.6083550913838
"45",49,79.4165110907192,41.0530645824763,7.68281492263393
"46",50,24.8912367930392,25.9011808576756,3.46488502175264
"47",51,72.2600436552416,30.4489410654239,7.14058167659725
"48",53,80.9275172187602,29.6425057395867,5.51262709084946
"49",54,30.7649728772279,27.6541569799624,6.02236244879885
"50",55,48.3829993481858,28.8101883575953,5.26966724048602
"51",56,0,29.9303135888502,10.5226480836237
